vid,gid
80848,72596
891,-1090571725
22764,35270
19543,-2081414418
7431,609945438
-1358776123,2094808212
36249,-1072444798
54722,-1072444798
-43786346,-878933364
9342,-1072444798
-946155486,-1299800906
92493,-1072444798
88411,-1072444798
44395,-1090571725
1164063416,35270
21529,-1072444798
65437,61399
40477,-1072444798
24714,-1299800906
-445761611,-474504547
-973856041,-878933364
40235,92608
38047807,61399
29406,72596
70847,-1299800906
54231,-1090571725
697347649,2094808212
-587720832,-2081414418
74824,-1090571725
-419818866,35270
23003,-474504547
71460,2094808212
53956,-1072444798
1914425625,-474504547
79454,-1090571725
65323,61399
87896,-2081414418
80934,609945438
39592,-1090571725
7114,609945438
407328348,61399
37289,-1072444798
-1959478858,-474504547
756845220,50298
61486,35270
25168,-2081414418
3097,609945438
50298,50298
5654,-878933364
15308,-1072444798
69426,-1072444798
21041,61399
49607,-1299800906
-2081414418,-2081414418
269162760,-1299800906
35270,35270
42726,-1072444798
94209,-1090571725
32939468,72596
72596,72596
651403367,609945438
3432,-878933364
39149,50298
-1090571725,-1090571725
48013,-1072444798
-1935744746,35270
61399,61399
89427,2094808212
-1979183068,72596
76337,-2081414418
-179671794,92608
-90818484,-1090571725
32988,35270
76062,-878933364
13241,92608
7759,-1072444798
63923,50298
38084,-1090571725
66211,-474504547
-75894510,92608
-1278348114,-2081414418
60361,2094808212
59610,35270
58471,61399
1541340403,2094808212
-474504547,-474504547
89334,-1072444798
62185,2094808212
1742,50298
3554,-1299800906
48488,-878933364
54939,-1090571725
14108,61399
79979,609945438
32312,-878933364
88897,-2081414418
47117577,61399
41212,72596
5863,-1090571725
87955,-1090571725
21447,61399
4466,-1072444798
75532,-1072444798
-1011810543,50298
81893,-878933364
34046,-2081414418
43691,92608
70723,92608
-878933364,-878933364
47145,-878933364
92608,92608
21686,-1299800906
11449,61399
27383,-878933364
-1930483908,-1090571725
1598,609945438
68806,-1090571725
75517,609945438
42034,-1072444798
229409205,-1299800906
93795,-474504547
36232,609945438
13973,-1072444798
-1072444798,-1072444798
1107,-1072444798
47294,-1072444798
36591,-2081414418
43831,-474504547
11102,50298
-1334499638,-878933364
928442070,-878933364
95395,61399
5883,-1072444798
50153,-1072444798
21703,-474504547
2094808212,2094808212
94779,-1299800906
59259,-1299800906
73650,609945438
9017,-1072444798
90957,2094808212
62160,609945438
68530,50298
-1299800906,-1299800906
2056251764,-1072444798
88905,-474504547
11469,72596
80068,-2081414418
89282,50298
24003,35270
-598761487,-1090571725
22020,-1072444798
5108,-1072444798
1642249755,72596
66604,-1299800906
81757,-1072444798
91456,2094808212
27334,72596
1380598190,92608
-912818065,72596
36530,-1072444798
65240,-1072444798
609945438,609945438
7958,35270
90014,61399
97066,-1072444798
27857,-878933364
-1783091118,50298
2754,35270
66185,72596
67145,-1072444798
-1120107737,92608
59447,72596
87125,92608
